==============================================================
  NetSupport RAT Infrastructure Hunter — 2026-05-15
==============================================================

📊 GESAMT AKTIVE HOSTS: 1039

🔴 NEU HEUTE (7)
   45.144.53.226      AS215730   H2.NEXUS Helsinki Network    (seit 2026-03-13)
   5.253.59.194       AS215540   HOST TELECOM LTD             (seit 2026-03-14)
   138.124.241.174    AS44477    HOSTLINE LTD                 (seit 2026-03-24)
   138.124.64.128     AS44477    HOSTLINE LTD                 (seit 2026-04-16)
   138.124.8.131      AS44477    HOSTLINE LTD                 (seit 2026-04-24)
   95.81.127.120      AS39308    Hamara System Tabriz Engineering Company (seit 2026-03-10)
   95.81.122.126      AS39308    Hamara System Tabriz Engineering Company (seit 2026-03-26)
   95.81.122.52       AS39308    Hamara System Tabriz Engineering Company (seit 2026-04-02)
   95.81.124.158      AS39308    Hamara System Tabriz Engineering Company (seit 2026-04-05)
   95.81.124.159      AS39308    Hamara System Tabriz Engineering Company (seit 2026-05-10)
   94.130.255.154     AS24940    Hetzner Online GmbH          (seit 2026-03-10)
   178.63.193.207     AS24940    Hetzner Online GmbH          (seit 2026-03-10)
   77.42.48.130       AS?        Hetzner Online GmbH          (seit 2026-03-12)
   135.181.175.249    AS24940    Hetzner Online GmbH          (seit 2026-05-10)
   188.40.152.219     AS24940    Hetzner Online GmbH          (seit 2026-05-10)
   103.101.85.46      AS214408   Hosted by Internalhost       (seit 2026-03-22)
   194.146.43.81      AS202958   Hoster.KZ                    (seit 2026-03-12)
   185.113.134.17     AS207333   Hoster.KZ                    (seit 2026-03-16)
   141.105.130.29     AS214379   Hostiko                      (seit 2026-03-10)
   147.45.199.149     AS212701   Hostinux Limited             (seit 2026-03-13)
   80.66.84.67        AS63023    HyperHosting                 (seit 2026-05-14)
   185.100.159.239    AS212496   INHOST MCHJ                  (seit 2026-03-20)
   185.237.100.133    AS51395    IP Fiber Inc                 (seit 2026-03-10)
   45.130.151.190     AS212913   IPX - FZCO                   (seit 2026-04-21)
   81.19.131.91       AS63023    ISP IPOCEAN LLC              (seit 2026-03-10)
   81.19.131.15       AS63023    ISP IPOCEAN LLC              (seit 2026-04-09)
   45.88.3.61         AS200313   IT WEB LTD                   (seit 2026-03-10)
   194.40.243.81      AS48693    IT WEB LTD                   (seit 2026-03-11)
   45.88.3.70         AS200313   IT WEB LTD                   (seit 2026-04-06)
   195.62.48.50       AS213893   IT-GARAGE Labs Limited       (seit 2026-03-12)
   185.82.218.221     AS59729    ITLDC EU2.SOF Datacenter Network (seit 2026-03-10)
   45.12.4.23         AS212872   Internet Hosting LLC         (seit 2026-05-10)
   213.176.18.64      AS142578   Iranian Research Organization for Science & Technology (seit 2026-03-10)
   212.109.222.113    AS29182    JSC Datacenter               (seit 2026-05-10)
   178.89.186.222     AS9198     JSC Kazakhtelecom            (seit 2026-03-14)
   109.122.198.100    AS49872    Jahan Ruye Khat PJSC         (seit 2026-04-21)
   212.116.240.105    AS151338   KODAK                        (seit 2026-03-10)
   91.219.150.204     AS56694    LLC Smart Ape                (seit 2026-04-03)
   193.169.228.96     AS42474    LLC Smart Ape                (seit 2026-04-16)
   188.130.238.107    AS215670   LLP Internet company First Page (seit 2026-05-10)
   94.103.1.188       AS?        Linkservice LLC              (seit 2026-04-09)
   31.202.132.86      AS34700    Maxnet LLC, Kharkiv          (seit 2026-03-10)
   31.202.132.44      AS34700    Maxnet LLC, Kharkiv          (seit 2026-03-10)
   31.202.132.59      AS34700    Maxnet LLC, Kharkiv          (seit 2026-03-12)
   31.202.132.63      AS34700    Maxnet LLC, Kharkiv          (seit 2026-03-25)
   31.202.128.196     AS34700    Maxnet LLC, Kharkiv          (seit 2026-04-06)
   31.56.240.9        AS208450   Megahost Kazakhstan TOO      (seit 2026-05-08)
   185.246.153.233    AS56630    Melbicom infrastructure      (seit 2026-05-10)
   95.85.231.55       AS43708    Mimon fiber optics           (seit 2026-05-14)
   185.163.46.71      AS39798    MivoCloud                    (seit 2026-03-10)
   213.165.52.111     AS16589    Mohammed Jassim bin Jassim Al-Abd Rab Al-Nabi trading as Visual Systems for Information and Technology (seit 2026-04-19)
   132.243.225.171    AS14962    NCR Corporation              (seit 2026-05-10)
   103.27.157.155     AS396356   NETAXIS GROUP LTD            (seit 2026-03-10)
   87.121.221.171     AS214417   NL-Network                   (seit 2026-03-28)
   87.121.82.178      AS34224    Neterra Ltd.                 (seit 2026-03-10)
   89.105.223.116     AS24875    NovoServe B.V.               (seit 2026-03-20)
   89.105.223.171     AS24875    NovoServe B.V.               (seit 2026-04-13)
   154.83.148.38      AS984      OCTOPUS WEB SOLUTION INC     (seit 2026-05-11)
   154.83.148.75      AS984      OCTOPUS WEB SOLUTION INC     (seit 2026-05-14)
   45.81.226.138      AS204601   ON-LINE DATA LTD.            (seit 2026-03-10)
